,0
0,SECOM Trust.net
1,The Go Daddy Group Inc.
2,E-Tu\C4\9Fra EBG Bili\C5\9Fim Teknolojileri ve Hizmetleri A.\C5\9E.
3,Comodo CA Limited
4,Deutsche Telekom AG
5,Starfield Technologies Inc.
6,WISeKey
7,Baltimore
8,AC Camerfirma SA CIF A82743287
9,GeoTrust Inc.
10,GoDaddy.com Inc.
11,Trustis Limited
12,Certinomis
13,LuxTrust S.A.
14,Chunghwa Telecom Co. Ltd.
15,Hongkong Post
16,UniTrust
17,GlobalSign nv-sa
18,Sonera
19,SECOM Trust Systems CO.LTD.
20,Certplus
21,DigiNotar
22,AddTrust AB
23,COMODO CA Limited
24,QuoVadis Limited
25,Microsec Ltd.
26,The USERTRUST Network
27,Actalis S.p.A./03358520967
28,Hellenic Academic and Research Institutions Cert. Authority
29,Symantec Corporation
30,TAIWAN-CA
31,eMudhra Inc
32,China Financial Certification Authority
33,Amazon
34,AS Sertifitseerimiskeskus
35,AffirmTrust
36,FNMT-RCM
37,Buypass AS-983163327
38,GUANG DONG CERTIFICATE AUTHORITY CO.LTD.
39,Entrust Inc.
40,SwissSign AG
41,Staat der Nederlanden
42,Disig a.s.
43,DigiCert Inc
44,Swisscom
45,XRamp Security Services Inc
46,certSIGN
47,Krajowa Izba Rozliczeniowa S.A.
48,TrustCor Systems S. de R.L.
49,Government Root Certification Authority
50,DigiNotar B.V.
51,Internet Security Research Group
52,VeriSign Inc.
53,Dhimyotis
54,GlobalSign
55,IZENPE S.A.
56,Japan Certification Services Inc.
57,eMudhra Technologies Limited
58,Network Solutions L.L.C.
59,SecureTrust Corporation
60,thawte Inc.
61,Turkiye Bilimsel ve Teknolojik Arastirma Kurumu - TUBITAK
62,Unizeto Sp. z o.o.
63,T-Systems Enterprise Services GmbH
64,Atos
65,IdenTrust
66,SSL Corporation
67,NetLock Kft.
68,Unizeto Technologies S.A.
69,AC Camerfirma S.A.
70,Google Trust Services LLC
71,D-Trust GmbH
72,ACCV
73,Agencia Catalana de Certificacio (NIF Q-0801176-I)
